vocab-item-016,vocab,the cassette,el casete,die kassette,la cassette,de cassette,
vocab-item-017,vocab,the cheese,el queso,der käse,le fromage,de kaas,
vocab-item-018,vocab,the cloak,la capucha,der mantel,la cape,de mantel,
vocab-item-019,vocab,the clothespin,la pinza para la ropa,die wäscheklammer,la pince à linge,de wasknijper,
vocab-item-020,vocab,the coaster,el portavaso,der untersetzer,le dessous de verre,de achtbaan,
vocab-item-021,vocab,the cork,el corcho,der korken,le bouchon,de kurk,
vocab-item-022,vocab,the cornbread,el pan de maíz,das maisbrot,le pain de maïs,het maïsbrood,
vocab-item-023,vocab,the corset,el corsé,das korsett,le corset,het korset,
vocab-item-024,vocab,the dumpling,el dumpling,der Teigtaschen,le dumpling,de knoedel,
vocab-item-025,vocab,the elbow,el codo,der ellbogen,le coude,de elleboog,
vocab-item-026,vocab,the fan,el ventilador,der ventilator,le ventilateur,de ventilator,
vocab-item-027,vocab,the foam,la espuma,der schaumstoff,la mousse,het schuim,
vocab-item-028,vocab,the footbath,la lavapiés,das fußbad,le bain de pieds,het voetbad,
vocab-item-029,vocab,the fruitcake,el pastel de frutas,der obstkuchen,le gâteau aux fruits,de vruchtencake,
vocab-item-030,vocab,the gutter,la canaleta,die dachrinne,la gouttière,de goot,
vocab-item-031,vocab,the hamster,el hámster,der hamster,le hamster,de hamster,
vocab-item-032,vocab,the hedgehog,el erizo,der igel,le hérisson,de egel,
vocab-item-033,vocab,the hoe,la azadilla,die hacke,la houe,de schoffel,
vocab-item-034,vocab,the hopscotch,la golosa,Himmel und Hölle,la marelle,de hinkelbaan,
vocab-item-035,vocab,the kimono,el kimono,der kimono,le kimono,de kimono,
vocab-item-036,vocab,the latch,el cerrojo,der riegel,le loquet,de klink,
vocab-item-037,vocab,the locker,el casillero,das schließfach,le casier,het kluisje,
vocab-item-038,vocab,the lollipop,la colombina,der lollipop,la sucette,de lolly,
vocab-item-039,vocab,the map,el mapa,die karte,la carte,de kaart,
vocab-item-040,vocab,the marshmallow,el malvavisco,der marshmallow,la guimauve,de marshmallow,
vocab-item-041,vocab,the net,la malla,das netz,le filet,het net,
vocab-item-042,vocab,the oil,el aceite,das öl,l'huile,de olie,
vocab-item-043,vocab,the omelet,la tortilla,das omelett,l'omelette,de omelet,
vocab-item-044,vocab,the pie,la tarta,der kuchen,la tourte,de taart,
vocab-item-045,vocab,the pistachio,el pistacho,die pistazien,la pistache,de pistache,
vocab-item-046,vocab,the pitcher,la jarra,der krug,le pichet,de kruik,
vocab-item-047,vocab,the potato,la papa,die kartoffel,la pomme de terre,de aardappel,
vocab-item-048,vocab,the prism,el prisma,das prisma,le prisme,het prisma,
vocab-item-049,vocab,the puddle,el charco,die pfütze,la flaque,de plas,
vocab-item-050,vocab,the pump,la bomba de agua,die pumpe,la pompe,de pomp,
vocab-item-051,vocab,the rice,el arroz,der reis,le riz,de rijst,
vocab-item-052,vocab,the saddle,la silla de montar,der sattel,la selle,het zadel,
vocab-item-053,vocab,the sandbag,el saco de arena,der sandsack,le sac de sable,de zandzak,
vocab-item-054,vocab,the scaffolding,el andamio,das gerüst,l'échafaudage,de steiger,
vocab-item-055,vocab,the scoop,el cucharón,die schaufel,la cuillère à glace,de schep,
vocab-item-056,vocab,the seagull,la gaviota,die möwe,la mouette,de meeuw,
vocab-item-057,vocab,the ship,el barco,das schiff,le navire,het schip,
vocab-item-058,vocab,the shower,la ducha,die dusche,la douche,de douche,
vocab-item-059,vocab,the silverware,los cubiertos,der tafelsilber,l'argenterie,het zilverwerk,
vocab-item-060,vocab,the sink,el lavamanos,das waschbecken,l'évier,de gootsteen,
vocab-item-061,vocab,the ski,el esquí,der ski,le ski,de ski,
vocab-item-062,vocab,the sloth,el oso perezoso,das faultier,le paresseux,de luiaard,
vocab-item-063,vocab,the snail,el caracol,die schnecke,l'escargot,de slak,
vocab-item-064,vocab,the sorbet,el sorbete,das sorbet,le sorbet,het sorbet,
vocab-item-065,vocab,the spatula,la espátula,der Pfannenwender,la spatule,de spatel,
vocab-item-066,vocab,the sprinkler,el aspersor,der sprinkler,l'arroseur,de sproeier,
vocab-item-067,vocab,the squash,la calabaza,der kürbis,la courge,de pompoen,
vocab-item-068,vocab,the squirrel,la ardilla,das eichhörnchen,l'écureuil,de eekhoorn,
vocab-item-069,vocab,the stew,el guiso,der Eintopf,le ragoût,de stoofpot,
vocab-item-070,vocab,the rubber band,la banda elástica,das Gummiband,l'élastique,het elastiekje,
vocab-item-071,vocab,the stump,el tocón,der baumstumpf,la souche,de stronk,
vocab-item-072,vocab,the sunflower,el girasol,die sonnenblume,le tournesol,de zonnebloem,
vocab-item-073,vocab,the swordfish,el pez espada,der schwertfisch,l'espadon,de zwaardvis,
vocab-item-074,vocab,the tapestry,el tapiz,der wandteppich,la tapisserie,het wandtapijt,
vocab-item-075,vocab,the teabag,la bolsa de té,der teebeutel,le sachet de thé,het theezakje,
vocab-item-076,vocab,the telescope,el telescopio,der teleskop,le télescope,de telescoop,
vocab-item-077,vocab,the thermos,el termo,die thermoskanne,le thermos,de thermoskan,
vocab-item-078,vocab,the treasure,el tesoro,der schatz,le trésor,de schat,
vocab-item-079,vocab,the trumpet,la trompeta,die trompete,la trompette,de trompet,
vocab-item-080,vocab,the tulip,el tulipán,die tulpe,la tulipe,de tulp,
vocab-item-081,vocab,the turbine,la turbina,die turbine,la turbine,de turbine,
vocab-item-082,vocab,the turkey,el pavo,der truthahn,la dinde,de kalkoen,
vocab-item-083,vocab,the turtle,la tortuga,die schildkröte,la tortue,de schildpad,
vocab-item-084,vocab,the typewriter,la máquina de escribir,die schreibmaschine,la machine à écrire,de typemachine,
vocab-item-085,vocab,the watermelon,la sandía,die wassermelone,la pastèque,de watermeloen,
vocab-item-086,vocab,the waterwheel,la rueda hidráulica,das wasserrad,la roue à eau,het waterrad,
vocab-item-087,vocab,the ant,la hormiga,die ameise,la fourmi,de mier,
vocab-item-088,vocab,the ball,la pelota,der kugel,le ballon,de bal,
vocab-item-089,vocab,the bear,el oso,der bär,l'ours,de beer,
vocab-item-090,vocab,the duck,el pato,die ente,le canard,de eend,
vocab-item-091,vocab,the fork,el tenedor,die gabel,la fourchette,de vork,
vocab-item-092,vocab,the kitten,el gatito,das kätzchen,le chaton,het poesje,
vocab-item-093,vocab,the knee,la rodilla,das knie,le genou,de knie,
vocab-item-094,vocab,the milkshake,la malteada,der milchshake,le lait frappé,de milkshake,
vocab-item-095,vocab,the skin,la piel,der haut,la peau,de huid,
vocab-item-096,vocab,the wall,el muro,die wand,le mur,de muur,
vocab-item-097,vocab,the wheel,la rueda,das rad,la roue,het wiel,
vocab-item-098,vocab,the farm,la granja,der bauernhof,la ferme,de boerderij,
vocab-item-099,vocab,juggling,el malabarismo,der jonglieren,le jonglage,jongleren,
vocab-item-100,vocab,the dressing,el aderezo,der Dressing,la vinaigrette,de dressing,
vocab-item-101,vocab,the roof,el techo,das dach,le toit,het dak,
vocab-item-102,vocab,peeking,espiando,spähen,espiègle,gluren,
vocab-item-103,vocab,the ruler,la regla,das lineal,la règle,de heerser,
vocab-item-104,vocab,the tunnel,el túnel,der tunnel,le tunnel,de tunnel,
vocab-item-105,vocab,the envelope,el sobre,der umschlag,l'enveloppe,de envelop,
vocab-item-106,vocab,the diamond,el diamante,der diamant,le diamant,de diamant,
vocab-item-107,vocab,the calendar,el calendario,der kalender,le calendrier,de kalender,
vocab-item-108,vocab,the panda,el panda,der panda,le panda,de panda,
vocab-item-109,vocab,the arrow,la flecha,der pfeil,la flèche,de pijl,
vocab-item-110,vocab,picking,cosecha,pflücken,ramasser,plukken,
vocab-item-111,vocab,dripping,goteando,tropfen ,goutter,druipend,
vocab-item-112,vocab,the knight,el caballero,der ritter,le chevalier,de ridder,
vocab-item-113,vocab,delivering,entregando,liefern,livrer,leveren,
vocab-item-114,vocab,the dentist,la dentista,der zahnarzt,le dentiste,de tandarts,
vocab-item-115,vocab,the claw,la garra,der Klauenhammer,la griffe,de klauw,
vocab-item-116,vocab,the uniform,el uniforme,die uniform,l'uniforme,het uniform,
vocab-item-117,vocab,furry,peludo,pelzig,poilu,harig,
vocab-item-118,vocab,the cormorant,el cormorán,der kormoran,le cormoran,de aalscholver,
vocab-item-119,vocab,fetch,traer,bringen,chercher,ophalen,
vocab-item-120,vocab,the arcade,la arcada,die arkade,l'arcade,de speelhal,
vocab-item-121,vocab,the artifact,el artefacto,das artefakt,l'artéfact,het artefact,
vocab-item-122,vocab,aversion,aversión,abneigung,l'aversion,afkeer,
vocab-item-123,vocab,the beret,la boina,die baskenmütze,le béret,de baret,
vocab-item-124,vocab,applaud,aplaudir,applaudieren,applaudir,applaudisseren,
vocab-item-125,vocab,timid,tímido,schüchtern,timide,timide,
vocab-item-126,vocab,the camp,el campamento,das lager,le camp,het kamp,
vocab-item-127,vocab,tumble,caída,turnen,culbuter,tuimelen,
vocab-item-128,vocab,concentric,concéntrico,konzentrisch,concentrique,concentrisch,
vocab-item-129,vocab,the confectionery,la confitería,der Süßigkeiten,la confiserie,de zoetwaren,
vocab-item-130,vocab,the couturier,el costurero,der Schneider,le couturier,de couturier,
vocab-item-131,vocab,degression,disminución,degression,la dégression,degressie,
vocab-item-132,vocab,the divan,el diván,die Ottomane,le divan,de divan,
vocab-item-133,vocab,the wetland,el humedal,das feuchtgebiet,la zone humide,het moeras,
vocab-item-134,vocab,the baywindow,la ventana salediza,das erkerfenster,la baie vitrée,het erkerraam,
vocab-item-135,vocab,the aesthete,el esteta,der ästhetik,l'esthète,de estheet,
vocab-item-136,vocab,ecstatic,extático,ekstatisch,extatique,extatisch,
vocab-item-137,vocab,rickety,desvencijado,heruntergekommen,branlant,gammel,
vocab-item-138,vocab,gourmet,gourmet,feinschmecker,gourmet,gastronomisch,
vocab-item-139,vocab,gesticulate,gesticular,gestikulieren,gesticuler,gebaren,
vocab-item-140,vocab,the facade,la fachada,die fassade,la façade,de gevel,
vocab-item-141,vocab,the slope,la pendiente,der hang,la pente,de helling,
vocab-item-142,vocab,the habit,el hábito,die Angewohnheit,l'habitude,de gewoonte,
vocab-item-143,vocab,the intersection,la intersección,die kreuzung,le carrefour,het kruispunt,
vocab-item-144,vocab,the irrigation,la irrigación,die bewässerung,l'irrigation,de irrigatie,
vocab-item-145,vocab,the kazoo,el kazoo,der kazoo,le kazoo,de kazoo,
vocab-item-146,vocab,chat,conversar,quatschen ,bavarder,kletsen,
vocab-item-147,vocab,the colony,la colonia,die kolonie,la colonie,de kolonie,
vocab-item-148,vocab,preserve,conservar,aufbewahren,préserver,beschermen,
vocab-item-149,vocab,the awning,el toldo,der sonnensegel,l'auvent,de luifel,
vocab-item-150,vocab,mammalogy,mamalogía,säugetierkunde,la mammalogie,mammologie,
vocab-item-151,vocab,the metronome,el metrónomo,das metronom,le métronome,de metronoom,
vocab-item-152,vocab,the paleontologist,el paleontólogo,der paläontologe,le paléontologue,de paleontoloog,
vocab-item-153,vocab,the percussion,la percusión,die perkussion,la percussion,de percussie,
vocab-item-154,vocab,the posterior,la posterior,der hinten,la postérieure,de achterste,
vocab-item-155,vocab,precarious,precario,prekär,précaire,onzeker,
vocab-item-156,vocab,the arbor,el quiosco,der Pavillon,la tonnelle,de prieel,
vocab-item-157,vocab,resuscitation,resucitación,wiederbelebung,réanimation,reanimatie,
vocab-item-158,vocab,the rosette,el rosetón,die rosette,la rosette,de rozet,
vocab-item-159,vocab,the saffron,el azafrán,der safran,le safran,de saffraan,
vocab-item-160,vocab,mischievous,travieso,schelmisch,espiègle,ondeugend,
vocab-item-161,vocab,the skimmer,la desnatadora,der abschäumer,l'écumoire,de schuimspaan,
vocab-item-162,vocab,sedentary,sedentario,sitzend,sédentaire,gevestigd,
vocab-item-163,vocab,the suede,la gamuza,das wildleder,le daim,het suède,
vocab-item-164,vocab,the turnstile,el torniquete,das Drehkreuz,le tourniquet,het draaihekje,
vocab-item-165,vocab,the triad,la tríada,die triade,la triade,de triade,
vocab-item-166,vocab,dredging,dragado,baggern,dragage,baggeren,
vocab-item-167,vocab,urban,urbano,städtisch,urbain,stedelijk,
vocab-item-168,vocab,the steam,el vapor,der dampf,la vapeur,de stoom,
vocab-item-169,vocab,the vertebra,la vértebra,der wirbel,la vertèbre,de wervel,
vocab-item-170,vocab,the bandage,el vendaje,der verband,le bandage,het verband,
vocab-instruct-1,vocab,"In this game, you are going to listen to words and look at different pictures. Your job is to pick the picture that matches the word!","En este juego, escucharás palabras y observarás diferentes imágenes. ¡Tu tarea es elegir la imagen que coincida con la palabra!","In diesem Spiel hörst du Wörter und siehst dir verschiedene Bilder an. Deine Aufgabe ist es, das Bild auszuwählen, das zum Wort passt!","Dans ce jeu, vous allez écouter des mots et regarder différentes images. Votre tâche est de choisir l'image qui correspond au mot !",In dit spel ga je naar woorden luisteren en naar verschillende plaatjes kijken. Jouw taak is om het plaatje te kiezen dat bij het woord past!,
vocab-practice-1,vocab,"You are going to see some different pictures. For example, a picture of an apple and a picture of a carrot. Then, you'll hear a word for one of the pictures. Make sure to pick the picture that matches the word!","A continuación, verás algunas imágenes, por ejemplo, una imagen de una manzana y una imagen de una zanahoria. Luego, escucharás la palabra que identifica una de las imágenes. ¡Asegúrate de elegir la imagen que coincida con la palabra!","Du wirst einige verschiedene Bilder sehen. Zum Beispiel ein Bild von einem Apfel und ein Bild von einer Karotte. Dann hörst du ein Wort zu einem der Bilder. Achte darauf, dass du das Bild auswählst, das zum Wort passt!","Vous allez voir différentes images. Par exemple, une image d'une pomme et une image d'une carotte. Ensuite, vous entendrez un mot pour l'une des images. Assurez-vous de choisir l'image qui correspond au mot !",Je gaat een aantal verschillende plaatjes zien. Bijvoorbeeld een plaatje van een appel en een plaatje van een wortel. Dan hoor je een woord voor een van de plaatjes. Zorg ervoor dat je het plaatje kiest dat bij het woord past!,
vocab-instruct-2,vocab,"Some words are hard, and that's okay. If you're not sure, just give your best guess!","Algunas palabras son difíciles, pero no te preocupes, si tienes dudas, ¡haz tu mejor intento!","Manche Wörter sind schwer, und das ist in Ordnung. Wenn du dir nicht sicher bist, gib einfach dein Bestes!","Certains mots sont difficiles, et c'est correct. Si vous n'êtes pas sûr, supposez le mieux que vous pouvez !","Sommige woorden zijn moeilijk, en dat is oké. Als je het niet zeker weet, geef dan gewoon je beste gok!",
vocab-instruct-3,vocab,"If you need to hear the word again, press the speaker button.","Si necesitas escuchar la palabra otra vez, presiona el botón del altavoz.","Wenn du das Wort noch einmal hören möchtest, drücke die Lautsprechertaste.","Si vous devez entendre le mot de nouveau, appuyez sur le bouton haut-parleur.","Wilt u het woord nogmaals horen, druk dan op de luidsprekerknop.",
shared-intro-devices,trog,"You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now.","You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now.","You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now.","Vous pouvez appuyer sur un écran tactile, utiliser le pavé tactile ou appuyer sur les touches fléchées pour cette activité. Essayez maintenant.","U kunt op een touchscreen tikken, het touchpad gebruiken of op de pijltjestoetsen drukken voor deze activiteit. Probeer het nu.",
shared-choose-picture-press-arrow,trog,"To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture.","To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture.","To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture.","Pour utiliser une touche fléchée pour choisir une image, appuyez sur la touche qui pointe dans la même direction que la flèche sous l'image.","Om een pijltjestoets te gebruiken om een afbeelding te selecteren, drukt u op de toets die in dezelfde richting wijst als de pijl onder de afbeelding.",
shared-intro-replay,trog,You can press the replay button to hear things again. Try it now.,You can press the replay button to hear things again. Try it now.,You can press the replay button to hear things again. Try it now.,Vous pouvez appuyer sur le bouton de relecture pour réécouter. Essayez maintenant.,Je kunt op de replay-knop drukken om dingen opnieuw te horen. Probeer het nu.,
trog-instr1-matching,trog,"This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear.","This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear.","This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear.","Ceci est une activité d'association. Écoutez ce que je dis, puis regardez attentivement les images. Choisissez l'image qui correspond aux mots que vous entendez.",Dit is een matchingactiviteit. Luister naar wat ik zeg en bekijk de plaatjes dan aandachtig. Kies het plaatje dat bij de woorden hoort die je hoort.,
ChildSurveyIntro,survey,"These questions ask you about how you feel at school and some of the things you do at school. There are no right or wrong answers. Choose the answer that best describes what you think. No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time. The first two are for practice.","Estas preguntas se refieren a cómo te sientes en la escuela, y a algunas de las cosas que haces en la escuela. No hay respuestas correctas ni incorrectas. Elige la respuesta que mejor diga lo que tú piensas. No, nunca; Sí, algunas veces; Sí, muchas veces; Sí, siempre. Las dos primeras preguntas son de práctica.","In diesen Fragen geht es darum, wie du dich in der Schule fühlst und was du in der Schule machst. Es gibt keine richtigen oder falschen Antworten. Wähle die Antwort, die am besten beschreibt, was du denkst. Nein, nie; Ja, manchmal; Ja, meistens; Ja, immer. Die ersten beiden Fragen sind zum Üben.","Ces questions vous demandent comment vous vous sentez à l'école et certaines choses que vous faites à l'école. Il n'y a pas de bonnes ou de mauvaises réponses. Choisissez la réponse qui décrit le mieux ce que vous pensez. Non, jamais ; Oui, quelquefois ; Oui, la plupart du temps ; Oui, tout le temps. Les deux premiers sont pour la pratique.","Deze vragen gaan over hoe je je op school voelt en over een aantal dingen die je op school doet. Er zijn geen goede of foute antwoorden. Kies het antwoord dat het beste beschrijft wat je denkt. Nee, nooit; Ja, soms; Ja, meestal; Ja, altijd. De eerste twee zijn om te oefenen.",
Example1Comic,survey,Do you like to read comic books?,¿Te gusta leer historietas (comics)?,Liest du gerne Comics?,Aimez-vous lire des bandes dessinées ?,Lees je graag stripboeken?,
Example2Neat,survey,Are you neat and tidy at school?,¿Eres limpio y ordenado en el colegio?,Bist du in der Schule ordentlich?,Êtes-vous soigneux et ordonné à l'école ?,Ben jij netjes en opgeruimd op school?,
TeacherNice,survey,Is your teacher nice to you?,¿Te trata bien tu profesor?,Ist dein Lehrer nett zu dir?,Votre enseignant est-il gentil avec vous ?,Is je leraar aardig tegen je?,
TeacherLike,survey,Does your teacher like you?,¿Le caes bien a tu profesor?,Mag dich dein Lehrer?,Votre enseignant vous aime-t-il ?,Vindt je leraar je aardig?,
TeacherListen,survey,Does your teacher listen to you?,¿Te escucha tu profesor?,Hört dein Lehrer dir zu?,Votre enseignant vous écoute-t-il ?,Luistert jouw leraar naar jou?,
SchoolFun,survey,Is school fun?,¿Te diviertes en el colegio?,Macht die Schule Spaß?,L'école est-elle amusante ?,Is school leuk?,
SchoolEnjoy,survey,Do you enjoy school?,¿Te gusta la escuela?,"Magst du es, in die Schule zu gehen?",Aimez-vous l'école ?,Vind je school leuk?,
SchoolHappy,survey,Are you happy at school?,¿Te sientes feliz en la escuela?,Bist du glücklich in der Schule?,Êtes-vous heureux à l'école ?,Ben je blij op school?,
SchoolSafe,survey,Do you feel safe at school?,¿Te sientes seguro o segura en el colegio?,Fühlst du dich in der Schule sicher?,Vous sentez-vous en sécurité à l'école ?,Voel je je veilig op school?,
ClassFriends,survey,Do you have friends in your class?,¿Tienes amigos o amigas en tu clase?,Hast du Freunde in deiner Klasse?,Avez-vous des amis dans votre classe ?,Heb je vrienden in je klas?,
ClassHelp,survey,Do the kids in your class help you when you need it?,¿Te ayudan los niños y las niñas de tu clase cuando lo necesitas?,"Helfen dir die Kinder in deiner Klasse, wenn du Hilfe brauchst?",Les enfants de votre classe vous aident-ils quand vous en avez besoin ?,Helpen de kinderen in jouw klas jou als dat nodig is?,
ClassPlay,survey,Do the kids in your class play with you?,¿Los niños y las niñas de tu clase juegan contigo?,Spielen die Kinder in deiner Klasse mit dir?,Les enfants de votre classe jouent-ils avec vous ?,Spelen de kinderen in jouw klas met jou?,
ClassNice,survey,Are the kids in your class nice to you?,¿Los niños y las niñas de tu clase son amables contigo?,Sind die Kinder in deiner Klasse nett zu dir?,Les enfants de votre classe sont-ils gentils avec vous ?,Zijn de kinderen in jouw klas aardig tegen je?,
LonelySchool,survey,Do you feel lonely at school?,¿Te sientes solo o sola en el colegio?,Fühlst du dich in der Schule einsam?,Vous sentez-vous seul à l'école ?,Voel jij je eenzaam op school?,
LearningGood,survey,Are you good at learning things in school?,¿Te queda fácil aprender en el colegio?,"Bist du gut darin, in der Schule etwas zu lernen?",Êtes-vous bon pour apprendre des choses à l'école ?,Ben je goed in het leren op school?,
SchoolGiveUp,survey,"When schoolwork is hard, do you give up right away?","Cuando las tareas escolares son difíciles, ¿te rindes enseguida?","Gibst du sofort auf, wenn dir die Schularbeit schwer fällt?",Abandonnez-vous tout de suite quand le travail scolaire est difficile ?,Geef je meteen op als schoolwerk moeilijk is?,
ReadingEnjoy,survey,Do you enjoy doing reading activities at school?,¿Te gusta hacer actividades de lectura en el colegio?,Macht es dir Spaß in der Schule zu lesen? ,Aimez-vous faire des activités de lecture à l'école ?,Vindt u het leuk om op school te lezen?,
MathEnjoy,survey,Do you enjoy doing math activities at school?,¿Te gusta hacer actividades de matemáticas en el colegio?,Hast du Spaß am Fach Mathe?,Aimez-vous faire des activités de mathématiques à l'école ?,Vindt u het leuk om rekenactiviteiten op school te doen?,
ReadingGood,survey,Are you good at reading?,¿Eres bueno o buena para la lectura?,Bist du gut im Lesen?,Êtes-vous bon en lecture ?,Ben je goed in lezen?,
MathGood,survey,Are you good at math?,¿Eres bueno o buena para las matemáticas?,Bist du gut in Mathe?,Êtes-vous bon en maths ?,Ben jij goed in wiskunde?,
GrowthMindSmart,survey,Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?,Algunos niños y niñas piensan que pueden ser más inteligentes si se esfuerzan mucho. ¿Crees que tú puedes ser más inteligente si te esfuerzas mucho?,"Manche Kinder glauben, dass sie schlauer werden können, wenn sie sich anstrengen. Bist du auch der Meinung, dass du schlauer werden kannst, wenn du dich anstrengst?",Certains enfants pensent qu'ils peuvent devenir plus intelligents s'ils travaillent très dur. Pensez-vous que vous pouvez devenir plus intelligent si vous travaillez très dur ?,Sommige kinderen denken dat ze slimmer kunnen worden als ze heel hard werken. Denk jij dat je slimmer kunt worden als je heel hard werkt?,
GrowthMindRead,survey,Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?,Algunos niños y niñas creen que pueden mejorar en lectura si se esfuerzan mucho. ¿Crees que tú puedes mejorar en lectura si te esfuerzas mucho?,"Manche Kinder glauben, dass sie besser lesen können, wenn sie sich richtig anstrengen. Bist du auch der Meinung, dass du besser lesen kannst, wenn du dich richtig anstrengst?",Certains enfants pensent qu'ils peuvent s'améliorer en lecture s'ils travaillent très dur. Pensez-vous que vous pouvez vous améliorer en lecture si vous travaillez très dur ?,Sommige kinderen denken dat ze beter kunnen worden in lezen als ze heel hard werken. Denk jij dat je beter kunt worden in lezen als je heel hard werkt?,
GrowthMindMath,survey,Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?,Algunos niños y niñas creen que pueden mejorar en matemáticas si se esfuerzan mucho. ¿Crees que tú puedes mejorar en matemáticas si te esfuerzas mucho?,"Manche Kinder glauben, dass sie in Mathematik besser werden können, wenn sie sich richtig anstrengen. Bist du auch der Meinung, dass man in Mathe besser wird, wenn man sich richtig anstrengt?",Certains enfants pensent qu'ils peuvent s'améliorer en maths s'ils travaillent très dur. Pensez-vous que vous pouvez vous améliorer en maths si vous travaillez très dur ?,Sommige kinderen denken dat ze beter worden in wiskunde als ze heel hard werken. Denk jij dat je beter wordt in wiskunde als je heel hard werkt?,
ChildSurveyRespoonses,survey,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time","No, nunca; Sí, algunas veces; Sí, muchas veces; Sí, siempre","Nein, nie; Ja, manchmal; Ja, meistens; Ja, immer","Non, jamais ; Oui, quelquefois ; Oui, la plupart du temps ; Oui, tout le temps","Nee, nooit; Ja, soms; Ja, meestal; Ja, de hele tijd",
ToM-scene7-instruct1,theory-of-mind,"Here is Diana. This morning at school, Diana put her toy in this drawer, because she didn’t want anyone to find it.","Aquí está Diana. Esta mañana en el colegio, Diana ha metido su juguete en este cajón porque no quería que nadie lo encontrara.","Das ist Diana. Als sie heute Morgen in die Schule kam, hat Diana ihr Spielzeug in diese Schublade gelegt, weil sie nicht wollte, dass es jemand findet.","Voici Diana. Ce matin à l'école, Diana a mis son jouet dans ce tiroir, parce qu'elle ne voulait pas que quelqu'un le trouve.","Hier is Diana. Vanmorgen op school legde Diana haar speelgoed in deze la, omdat ze niet wilde dat iemand het zou vinden.",
ToM-scene7-instruct2,theory-of-mind,"But while Diana was outside, someone did find it! And moved it from inside the drawer, to inside the desk.","Pero mientras Diana estaba fuera, ¡alguien lo encontró! Y lo movió del cajón al escritorio.","Aber während Diana draußen war, hat es jemand gefunden und aus der Schublade in den Schreibtisch gelegt.","Mais pendant que Diana était dehors, quelqu'un l'a trouvé ! Et l'a déplacé de l'intérieur du tiroir à l'intérieur du bureau.","Maar terwijl Diana buiten was, vond iemand het! En verplaatste het van binnen in de lade naar binnen in het bureau.",
ToM-scene7-instruct3,theory-of-mind,So now it’s playtime and Diana wants her toy.,Así que ahora es hora de jugar y Diana quiere su juguete.,Nun haben die Kinder Zeit zum Spielen und Diana möchte ihr Spielzeug holen.,C'est donc l'heure de jouer et Diana veut son jouet.,Nu is het tijd om te spelen en Diana wil haar speeltje.,
ToM-scene7-q1-false_belief,theory-of-mind,Where will Diana look for her toy?,¿Dónde buscará Diana su juguete?,Wo wird Diana nach ihrem Spielzeug suchen?,Où Diana va-t-elle chercher son jouet ?,Waar zal Diana haar speeltje zoeken?,
ToM-scene7-q2-reality_check,theory-of-mind,And where is her toy really?,¿Y dónde está realmente su juguete?,Und wo ist ihr Spielzeug wirklich?,Et où est vraiment son jouet ?,En waar is haar speeltje eigenlijk?,
desk,theory-of-mind,In the desk,En el escritorio,Im Schreibtisch,Dans le bureau,In het bureau,
drawer,theory-of-mind,In the drawer,En el cajón,In der Schublade,Dans le tiroir,In de lade,
ToM-scene8-instruct1,theory-of-mind,"This morning when she came to school, Allie put her yellow pencil on this shelf, above the backpack shelf.","Esta mañana, cuando vino a la escuela, Alejandra puso su lápiz de color amarillo en la repisa, sobre el mueble de las maletas.","Heute Morgen, als sie in die Schule kam, legte Linda ihren gelben Bleistift auf das Regal über dem Rucksackregal.","Ce matin, quand elle est arrivée à l'école, Allie a mis son crayon jaune sur cette étagère, au-dessus de l'étagère des sacs à dos.","Toen Allie vanmorgen naar school kwam, legde ze haar gele potlood op dit plankje, boven het plankje van haar rugzak.",
ToM-scene8-instruct2,theory-of-mind,"And then she went outside to play, see? Here’s Allie playing outside. And while she was outside playing, Allie’s yellow pencil fell down from on top of the shelf to behind the backpack shelf, see?","Y luego salió a jugar, ¿ves? Aquí está Alejandra jugando afuera. Y mientras estaba afuera jugando, el lápiz de color amarillo de Alejandra se cayó de la repisa y quedó detrás del mueble de las maletas, ¿ves?","Und dann ist sie zum spielen nach draußen gegangen, siehst du? Und während sie draußen spielte, fiel Lindas gelber Bleistift von oben runter und hinter das Rucksackregal, siehst du?","Puis elle est sortie pour jouer, voyez-vous ? Voici Allie en train de jouer dehors. Et pendant qu'elle jouait dehors, le crayon jaune d'Allie est tombé du dessus de l'étagère derrière l'étagère des sacs à dos, voyez ?","En toen ging ze naar buiten om te spelen, zie je? Hier is Allie buiten aan het spelen. En terwijl ze buiten aan het spelen was, viel Allie's gele potlood van boven op de plank naar achter de rugzakplank, zie je?",
