,item_id,labels,en,es-CO,de,context
154,trog-item-82,trog,the student opened the notebook and drew a tree,el estudiante abre el cuaderno y dibuja un árbol,der Schüler öffnete das Heft und zeichnete einen Baum,"trog-item-82
Es-co complete, de still needs review."
155,trog-item-83,trog,we will have a picnic in the park if it is sunny,"Si hace sol, haremos un picnic en el parque","Wenn es sonnig ist, werden wir im Park ein Picknick machen.","trog-item-83
Es-co complete, de still needs review."
156,trog-item-84,trog,he found his keys under the couch with the pillows,encontró sus llaves debajo del sofá con cojines,,"trog-item-84
Es-co complete, de still needs review."
157,trog-item-85,trog,she is the gardener who wears the hat that has a flower,ella es la jardinera que usa un sombrero que tiene una flor,"sie ist die Gärtnerin, die den Hut mit einer Blume trägt","trog-item-85
Es-co complete, de still needs review."
158,trog-item-86,trog,She tripped on a rock and dropped her books.,Ella tropezó con una piedra y dejo caer sus libros.,Sie stolperte über einen Stein und ließ ihre Bücher fallen.,"trog-item-86
Es-co complete, de still needs review."
159,trog-item-87,trog,The teacher will give the students cake if they stand in a line.,"La maestra dará pastel a los estudiantes, si se ponen en fila.","Der Lehrer gibt den Schülern Kuchen, wenn sie in einer Reihe stehen.","trog-item-87
Es-co complete, de still needs review."
160,trog-item-88,trog,We will dance together if there is music playing.,"Si hay música sonando, bailaremos todos juntos.","Wir tanzen zusammen, wenn Musik läuft.","trog-item-88
Es-co complete, de still needs review."
161,trog-item-89,trog,"Although it is hot outside, I am wearing a jacket with a hood.","Aunque hace calor afuera, estoy usando una chaqueta con capucha.","Obwohl es draußen heiß ist, trage ich eine Jacke mit Kapuze.","trog-item-89
Es-co complete, de still needs review."
162,trog-item-90,trog,"He likes swimming. However, he chose to play soccer with his friends.","Le gusta nadar. Sin embargo, elijió jugar fútbol con sus amigos.",,"trog-item-90
Es-co complete, de still needs review."
163,trog-item-91,trog,"Despite the noise in the classroom, she focused on reading her notebook.","A pesar del ruido en el salón, ella se concentró en leer su cuaderno.",Trotz des Lärms im Klassenzimmer konzentrierte sie sich auf das Lesen ihres Heftes.,"trog-item-91
Es-co complete, de still needs review."
164,trog-item-92,trog,He wore the clown's hat despite its large size.,Él usó el sombrero de payaso a pesar de su gran tamaño.,Er trug die Clownsmütze trotz ihrer großen Größe.,"trog-item-92
Es-co complete, de still needs review."
165,trog-item-93,trog,The duck following the turtle is walking across the bridge.,El pato que seguía a la tortuga está caminando por el puente.,"Die Ente, die der Schildkröte folgt, geht über die Brücke.","trog-item-93
Es-co complete, de still needs review."
166,trog-item-94,trog,Bumping the table with my foot caused a book to fall.,"Al tropezar la mesa con mi pie, tumbé un libro.",,"trog-item-94
Es-co complete, de still needs review."
167,trog-item-95,trog,The person chases the dog that is big.,La persona persigue al perro que es grande.,The person chases the dog that is big.,"trog-item-95
Es-co complete, de still needs review."
168,trog-item-96,trog,The girl wearing a backpack was shown a flower by her friend.,A la niña que llevaba el morral su amiga le mostró una flor.,"Dem Mädchen, das einen Rucksack trägt, wurde von seiner Freundin eine Blume gezeigt.","trog-item-96
Final es-co & de translation review complete"
169,trog-item-97,trog,"The kids cleaned the room, but forgot to put away the train.","Los niños limpiaron la habitación, pero se olvidaron de guardar el tren.","The kids cleaned the room, but forgot to put away the train.","trog-item-97
Es-co complete, de still needs review."
170,trog-item-98,trog,The monkey neither ate the banana nor swung on the vine.,El mono no se comió el plátano ni se columpió en la liana.,Der Affe hat weder die Banane gegessen noch sich an der Liane geschwungen.,"trog-item-98
Final es-co & de translation review complete"
171,trog-item-99,trog,"Her mom said it would be sunny. However, it rained heavily.","Su madre dijo que haría sol. Sin embargo, llovió a cántaros.","Her mom said it would be sunny. However, it rained heavily.","trog-item-99
Es-co complete, de still needs review."
172,trog-item-100,trog,The plane that is gray is above the clouds.,El avión que es gris está por encima de las nubes.,,"trog-item-100
Es-co complete, de still needs review."
173,trog-item-101,trog,The fish swim beneath a whale and a sea turtle.,Los peces nadan bajo una ballena y una tortuga marina.,The fish swim beneath a whale and a sea turtle.,"trog-item-101
Es-co complete, de still needs review."
174,trog-item-102,trog,The car that the truck followed is driving toward the tunnel.,El coche que siguió el camión va hacia el túnel.,,"trog-item-102
Es-co complete, de still needs review."
175,trog-item-103,trog,Instead of doing homework she did a puzzle in her room.,"En vez de hacer los deberes, hizo un puzzle en su habitación.",,"trog-item-103
Es-co complete, de still needs review."
176,yes,theory-of-mind,yes,sí,ja,"yes
"
177,no,theory-of-mind,no,no,nein,"no
"
178,happy,theory-of-mind,happy,feliz,,"happy
"
179,sad,theory-of-mind,sad,triste,traurig,"sad
"
180,angry,theory-of-mind,angry,enojado,wütend,"angry
"
181,scared,theory-of-mind,scared,asustado,,"scared
"
182,calm,theory-of-mind,calm,tranquilo,,"calm
"
183,proud,theory-of-mind,proud,orgulloso,,"proud
"
184,disgusted,theory-of-mind,disgusted,asqueado,,"disgusted
"
185,surprised,theory-of-mind,surprised,sorprendido,,"surprised
"
186,ToM-intro,theory-of-mind,"This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories.",Este es el Juego de las historias. En este juego vas a escuchar algunas historias y luego vas a responder preguntas sobre esas historias.,Das ist das Geschichten-Spiel. In diesem Spiel wirst du Geschichten hören und dann kannst du ein paar Fragen dazu beantworten.,"ToM-intro
"
187,ToM-transition,theory-of-mind,Nice work! Here is a new story.,¡Bien hecho! Ahora vamos con una nueva historia.,Sehr gut! Hier ist eine neue Geschichte.,"ToM-transition
"
188,ToM-scene1-instruct1,theory-of-mind,"Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it. ","Ella es Marisol. Esta mañana, Marisol puso su libro detrás de la silla, porque no quería que nadie lo encontrara.","Das ist Petra. Heute Morgen hat Petra ihr Buch hinter den Stuhl gelegt, weil sie nicht wollte, dass es jemand findet. ","ToM-scene1-instruct1
Final es-co & de translation review complete"
189,ToM-scene1-instruct2,theory-of-mind,"But when Madison was outside playing, someone did find it! And hid it under the rug. ","Pero, cuando Marisol estaba afuera jugando, ¡alguien lo encontró! Y lo escondió debajo de la alfombra.",,"ToM-scene1-instruct2
Final es-co & de translation review complete"
190,ToM-scene1-instruct3,theory-of-mind,So now it’s reading time and Madison wants her book.,"Ahora, es el momento de leer y Marisol quiere su libro.",Jetzt ist also Lesezeit und Petra möchte ihr Buch.,"ToM-scene1-instruct3
Final es-co & de translation review complete"
191,ToM-scene1-q1-false_belief,theory-of-mind,Where will Madison look first for her book?,¿Dónde buscará Marisol su libro primero?,Wo wird Laura zuerst nach ihrem Buch suchen? ,"ToM-scene1-q1-false_belief
Final es-co & de translation review complete"
192,chair,theory-of-mind,Behind the chair,Detrás de la silla,Hinter dem Stuhl,"chair
Final es-co & de translation review complete"
193,rug,theory-of-mind,Under the rug,Debajo de la alfombra,Unter dem Teppich,"rug
Final es-co & de translation review complete"
194,ToM-scene1-q2-reality_check,theory-of-mind,And where is her book really?,¿Y dónde está realmente su libro?,Und wo ist ihr Buch wirklich?,"ToM-scene1-q2-reality_check
Final es-co & de translation review complete"
195,ToM-scene2-instruct1,theory-of-mind,"This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue! ","Esta mañana, cuando vino a la escuela, Elián puso su libro sobre la repisa encima de los colgaderos de abrigos. El libro de Elián es azul.","Heute Morgen, als er in die Schule kam, hat Justus sein Buch auf die Garderobe über den Mänteln gelegt. Das Buch von Justus ist blau! ","ToM-scene2-instruct1
Final es-co & de translation review complete"
196,ToM-scene2-instruct2,theory-of-mind,"And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see? ","Y luego salió a jugar, ¿ves? Aquí está Elián jugando afuera. Mientras Elián estaba afuera jugando, su libro se cayó de la repisa y quedó en el piso, debajo de los abrigos, ¿ves?",,"ToM-scene2-instruct2
Final es-co & de translation review complete"
197,ToM-scene2-instruct3,theory-of-mind,"Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.","Luego entró Ana y puso su libro sobre la repisa encima de los colgaderos. ¡El libro de Ana también es azul! Como Elián todavía está afuera jugando, no vio lo que hizo Ana.","Dann kommt Hannah herein und legt ihr Buch auf die Garderobe über den Mänteln. Hannahs Buch ist auch blau! Justus ist noch draußen und spielt, deshalb hat er nicht gesehen, was Hannah gemacht hat.","ToM-scene2-instruct3
Final es-co & de translation review complete"
198,ToM-scene2-q1-false_belief,theory-of-mind,"Now, when Ethan comes in from outside, where will he look first for his book?","Entonces, cuando Elián regrese, ¿dónde buscará primero su libro?","Wenn Justus nun von draußen hereinkommt, wo wird er zuerst nach seinem Buch suchen?","ToM-scene2-q1-false_belief
Final es-co & de translation review complete"
199,shelf,theory-of-mind,On the shelf,Sobre la repisa,,"shelf
Final es-co & de translation review complete"
200,coats,theory-of-mind,Under the coats,Debajo de los abrigos,Unter den Mänteln,"coats
Final es-co & de translation review complete"
201,ToM-scene2-instruct4,theory-of-mind,"Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!","Veamos lo que Elián hace. Oh, mira, Elián está cogiendo el libro que está sobre la repisa. Y ahora Ana ve a Elián cogiendo ese libro... ¡el libro que es de Ana!","Mal sehen, was er macht. Oh, sieh mal, da ist Justus. Er greift nach dem Buch oben im Regal. Und jetzt sieht Hannah, wie Justus nach dem Buch greift... dem Buch, das Hannah gehört!","ToM-scene2-instruct4
Final es-co & de translation review complete"
202,ToM-scene2-q2-emotion_reasoning,theory-of-mind,How do you think Hannah feels about Ethan reaching for that book? ,¿Cómo crees que se siente Ana cuando Elián coge ese libro?,"Was glaubst du, was Hannah davon hält, dass Justus nach dem Buch greift? ","ToM-scene2-q2-emotion_reasoning
Final es-co & de translation review complete"
203,ToM-scene2-q7-emotion_reasoning,theory-of-mind,How do you think Hannah would feel if she had not seen Ethan reaching for the book?,¿Cómo crees que se sentiría Ana si no hubiera visto a Elián coger el libro?,"Wie würde sich Hannah wohl fühlen, wenn sie nicht gesehen hätte, wie Justus nach dem Buch greift?","ToM-scene2-q7-emotion_reasoning
"
204,ToM-scene2-q3-false_belief,theory-of-mind,Is Ethan being mean and naughty for taking Hannah's book?,¿Elián está siendo malo y travieso al tomar el libro de Ana?,"Ist es gemein und frech von Justus, dass er Hannahs Buch genommen hat?","ToM-scene2-q3-false_belief
Final es-co & de translation review complete"
205,ToM-scene2-q4-false_belief,theory-of-mind,Should Ethan get in trouble with the teacher for taking Hannah's book?,¿Debería Elián estar en problemas con el maestro por tomar el libro de Ana?,"Sollte Justus Ärger mit der Lehrerin bekommen, weil er Hannahs Buch genommen hat?","ToM-scene2-q4-false_belief
Final es-co & de translation review complete"
206,ToM-scene2-q5-reality_check,theory-of-mind,Can you help Hannah find her book? Is it on the shelf or under the coats?,¿Puedes ayudar a Ana a encontrar su libro? ¿Está sobre la repisa o debajo de los abrigos?,,"ToM-scene2-q5-reality_check
Final es-co & de translation review complete"
207,ToM-scene2-q6-reality_check,theory-of-mind,Can you help Ethan find his book? Is it on the shelf or under the coats?,¿Puedes ayudar a Elián a encontrar su libro? ¿Está sobre la repisa o debajo de los abrigos?,,"ToM-scene2-q6-reality_check
Final es-co & de translation review complete"
208,ToM-scene3-instruct1,theory-of-mind,"Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Johan, Isabel e Iván están jugando. El juego es el siguiente: Uno de los niños se esconde, pero debe dibujar una pista en la arena que permita a los otros niños encontrarlo.","Johann, Isabelle und Jens spielen ein Spiel. Das Spiel geht so: Ein Kind versteckt sich: Ein Kind versteckt sich, malt aber einen Hinweis in den Sandkasten, damit die anderen Kinder es finden können. ","ToM-scene3-instruct1
Final es-co & de translation review complete"
209,ToM-scene3-instruct2,theory-of-mind,"So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide. ","Entonces, Iván va primero. Dibuja esta pista en la arena y se esconde.",,"ToM-scene3-instruct2
Final es-co & de translation review complete"
210,ToM-scene3-instruct3,theory-of-mind,"Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.",Ahora le toca a Johan dejar una pista y esconderse. Isabel e Iván intentarán utilizar la pista para encontrarle.,,"ToM-scene3-instruct3
Final es-co & de translation review complete"
211,ToM-scene3-instruct4,theory-of-mind,"Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain.","Johan decide esconderse detrás de la fuente. Él dibuja una pista en la arena. Él intenta dibujar la parte inferior de la fuente y el agua que sale de ella, ¡pero el dibujo que hace parece un árbol! Ahora, Johan se esconde detrás de la fuente.","Johann beschließt, sich hinter dem Springbrunnen zu verstecken. Er zeichnet einen Hinweis in den Sand. Er versucht, den Springbrunnen zu zeichnen, mit dem unteren Teil und dem Wasser, das aus ihm herauskommt. Aber die Zeichnung sieht stattdessen wie ein Baum aus! Dann versteckt sich Johann hinter dem Springbrunnen.","ToM-scene3-instruct4
Final es-co & de translation review complete"
212,ToM-scene3-q1,theory-of-mind,What did Joshua mean to draw?,¿Qué quería dibujar Johan?,Was wollte Johann zeichnen?,"ToM-scene3-q1
Final es-co & de translation review complete"
213,fountain,theory-of-mind,A fountain,Una fuente,Einen Springbrunnen,"fountain
Final es-co & de translation review complete"
214,tree,theory-of-mind,A tree,Un árbol,Einen Baum,"tree
Final es-co & de translation review complete"
215,ToM-scene3-q2-false_belief,theory-of-mind,"When Isabel and Ivan see this clue, where will they look first for Joshua? ","Cuando Isabel e Iván vean esta pista, ¿dónde buscarán primero a Johan?",,"ToM-scene3-q2-false_belief
Final es-co & de translation review complete"
216,ToM-scene3-q2-reality_check,theory-of-mind,Can you help them find where Joshua really is?,¿Puedes ayudarles a encontrar dónde está realmente Johan?,"Kannst du ihnen helfen, herauszufinden, wo Johann wirklich ist?","ToM-scene3-q2-reality_check
Final es-co & de translation review complete"
217,behind-fountain,theory-of-mind,Behind the fountain,Detrás de la fuente,,"behind-fountain
Final es-co & de translation review complete"
218,behind-tree,theory-of-mind,Behind the tree,Detrás del árbol,Hinter dem Baum,"behind-tree
Final es-co & de translation review complete"
219,ToM-scene3-q3-emotion_reasoning,theory-of-mind,"Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","¡Mira, Isabel e Iván encontraron a Joshua y ganaron el juego! ¿Cómo crees que se siente Isabel por ganar el juego?","Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","ToM-scene3-q3-emotion_reasoning
Final es-co & de translation review complete"
220,ToM-scene4-instruct1,theory-of-mind,"Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys. ",Ya se acabaron los juegos y es la hora de volver a casa. Mamá les dice a los niños que busquen todos sus juguetes.,"Jetzt sind die Spiele vorbei, und es ist fast Zeit, nach Hause zu gehen. Die Mutter sagt den Kindern, sie sollen alle ihre Spielsachen finden. ","ToM-scene4-instruct1
Final es-co & de translation review complete"
221,ToM-scene4-instruct2,theory-of-mind,"Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it. ","Johan trajo su camión de juguete al parque, pero ahora no lo encuentra. Lo busca por todas partes, pero no puede encontrarlo.",,"ToM-scene4-instruct2
Final es-co & de translation review complete"
222,ToM-scene4-q1-emotion_reasoning,theory-of-mind,How does Joshua feel about losing his truck?,¿Cómo se siente Joshua al perder su camioneta?,How does Joshua feel about losing his truck?,"ToM-scene4-q1-emotion_reasoning
Final es-co & de translation review complete"
223,ToM-scene4-q8-emotion_reasoning,theory-of-mind,How would Joshua feel if he found his truck?,¿Cómo se sentiría Johan si encontrara su camión?,"Wie würde sich Johann fühlen, wenn er seinen Lastwagen finden würde?","ToM-scene4-q8-emotion_reasoning
"
224,ToM-scene4-instruct3,theory-of-mind,"Joshua can't find his truck because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox. ","Johan no encuentra su camión porque antes, cuando nadie miraba, Isabel cogió el camión de juguete y lo enterró en la arena.","Johann kann seinen Lastwagen nicht finden, weil Lisa vorhin, als niemand hinsah, den Spielzeuglastwagen genommen und im Sandkasten vergraben hat. ","ToM-scene4-instruct3
Final es-co & de translation review complete"
225,ToM-scene4-instruct4,theory-of-mind,"So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck.","Por eso, Johan mira por todas partes y no encuentra su camión de juguete. Su Mamá se enoja con él porque perdió el camión.","Deshalb sucht Johann überall, aber er kann seinen Spielzeuglaster nicht finden. Die Mutter ist böse auf Johann, weil er seinen Spielzeuglaster verloren hat.","ToM-scene4-instruct4
Final es-co & de translation review complete"
226,ToM-scene4-q2,theory-of-mind,Is it fair that Mother is mad at Joshua for losing his truck?,¿Es justo que Mamá se enoje con Johan por haber perdido su camión?,"Ist es fair, dass Mutter böse auf Johann ist, weil er seinen Spielzeuglaster verloren hat? ","ToM-scene4-q2
Final es-co & de translation review complete"
227,ToM-scene4-q3,theory-of-mind,Is Mother mad at Isabel? ,¿Mamá está enojada con Isabel? ,,"ToM-scene4-q3
Final es-co & de translation review complete"
228,ToM-scene4-q4-false_belief,theory-of-mind,Is Joshua mad at Isabel? ,¿Johan está enojado con Isabel? ,Ist Johann böse auf Lisa? ,"ToM-scene4-q4-false_belief
Final es-co & de translation review complete"
229,ToM-scene4-instruct5,theory-of-mind,"When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua.","Cuando Isabel se da cuenta de que la mamá está enojada con Johan, va al patio de arena, saca el juguete de la arena y se lo devuelve a Johan.",,"ToM-scene4-instruct5
Final es-co & de translation review complete"
230,ToM-scene4-q5,theory-of-mind,Is Mother mad at Joshua now?,¿Ahora Mamá está enojada con Johan?,Ist Mutter jetzt böse auf Johann?,"ToM-scene4-q5
Final es-co & de translation review complete"
231,ToM-scene4-q6,theory-of-mind,Is Mother mad at Isabel now?,¿Ahora Mamá está enojada con Isabel?,Ist Mutter jetzt böse auf Lisa?,"ToM-scene4-q6
Final es-co & de translation review complete"
232,ToM-scene4-q7,theory-of-mind,Is Joshua mad at Isabel now?,¿Ahora Johan está enojado con Isabel?,,"ToM-scene4-q7
Final es-co & de translation review complete"
233,ToM-scene4-instruct6,theory-of-mind,"Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in.","Isabel le ofrece disculpas a Johan y le da un fuerte abrazo. Johan le devuelve el abrazo, y la mamá se une a ellos.",,"ToM-scene4-instruct6
Final es-co & de translation review complete"
234,ToM-scene5-instruct1,theory-of-mind,"This is Katie. Earlier today, Katie's mom was cleaning the house, while Katie watched. Mom left three cups in the kitchen. There is a small cup on the counter, a medium sized cup on the table, and a big cup that she put away up high, on the shelf. ","Ella es Carla. Hace un rato, la mamá de María limpiaba la casa mientras María observaba. La mamá dejó tres tazas en la cocina: hay una taza pequeña en la barra, una taza mediana en la mesa y una taza grande en un estante que está muy alto. ","Das ist Katie. Heute früh hat die Mama von Katie das Haus geputzt, während Katie zugesehen hat. Mama hat drei Tassen in der Küche stehen lassen. Da ist eine kleine Tasse auf dem Tresen, eine mittelgroße Tasse auf dem Tisch und eine große Tasse, die sie ganz oben auf das Regal gestellt hat. ","ToM-scene5-instruct1
Final es-co & de translation review complete"
235,ToM-scene5-instruct2,theory-of-mind,"Katie and Dad just walked in and Katie asks her dad to get her a cup. Katie tells her Dad, “I want the big cup!”","Carla y Papá acaban de entrar y Carla le pide a su papá que le de una taza. Carla le dice a su papá ""¡quiero la taza grande!"".","Katie und Vater kommen in die Küche und Katie bittet ihren Vater, ihr eine Tasse zu geben. Katie sagt zu ihrem Vater: ""Ich möchte die große Tasse!""","ToM-scene5-instruct2
Final es-co & de translation review complete"
236,ToM-scene5-q1,theory-of-mind,Which cup will Dad give Katie?,¿Cuál taza le dará el Papá a Carla?,Welche Tasse wird Papa Katie geben?,"ToM-scene5-q1
Final es-co & de translation review complete"
237,ToM-scene5-q2-reality_check,theory-of-mind,Which cup does Katie want?,¿Cuál taza quiere Carla?,,"ToM-scene5-q2-reality_check
Final es-co & de translation review complete"
238,small_cup,theory-of-mind,The small cup,La taza pequeña,Die kleine Tasse,"small_cup
Final es-co & de translation review complete"
239,medium_cup,theory-of-mind,The medium sized cup,La taza mediana,Die mittelgroße Tasse,"medium_cup
Final es-co & de translation review complete"
240,large_cup,theory-of-mind,The big cup,La taza grande,Die große Tasse,"large_cup
Final es-co & de translation review complete"
241,ToM-scene5-q3-emotion_reasoning,theory-of-mind,How does Katie feel about not getting the cup she wanted?,¿Cómo se siente Carla por no recibir la taza que quería?,"Wie fühlt sich Katie, wenn sie nicht die Tasse bekommt, die sie wollte?","ToM-scene5-q3-emotion_reasoning
"
242,ToM-scene5-q4-emotion_reasoning,theory-of-mind,How would Katie feel if she had received the cup she wanted?,¿Cómo se sentiría Carla si hubiera recibido la taza que quería?,,"ToM-scene5-q4-emotion_reasoning
"
243,ToM-scene6-instruct1,theory-of-mind,"Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away.","Sam y María están jugando juntos. Cuando miran hacia afuera ven una tienda nueva al otro lado de la calle. María le dice a Sam: ""voy a ir a comprar camisetas nuevas para nosotros"" y se va.",,"ToM-scene6-instruct1
Final es-co & de translation review complete"
244,ToM-scene6-instruct2,theory-of-mind,,"        
Mamá llega a casa y le dice a Sam que acaba de pasar por la tienda. ""¿Venden camisetas?"" pregunta Sam. ""No"", dice Mamá, ""solo venden zapatos"". ""Probablemente ahora María va a comprar zapatos en la tienda"", dice Sam.",,"ToM-scene6-instruct2
Final es-co & de translation review complete"
245,ToM-scene6-q1,theory-of-mind,,"	
¿María sabe que en la tienda venden zapatos?",Does Maria know that they are selling shoes in the shop?,"ToM-scene6-q1
Final es-co & de translation review complete"
246,ToM-scene6-instruct3,theory-of-mind,,"María llega a la tienda y dice ""me gustaría comprar camisas."" La vendedora responde ""Sólo nos quedan medias."" Como María también necesita medias, decide comprar algunos pares.","Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks.","ToM-scene6-instruct3
Final es-co & de translation review complete"
247,ToM-scene6-q2,theory-of-mind,,¿Sam sabe que María ha comprado medias?,Does Sam know that Maria bought some socks?,"ToM-scene6-q2
Final es-co & de translation review complete"
248,ToM-scene6-q3,theory-of-mind,,¿Qué cree Sam que venden en la tienda?,What does Sam think they are selling at the shop?,"ToM-scene6-q3
Final es-co & de translation review complete"
249,shoes,theory-of-mind,,Zapatos,Schuhe,"shoes
Final es-co & de translation review complete"
250,socks,theory-of-mind,,Medias,Socken,"socks
Final es-co & de translation review complete"
251,shirts,theory-of-mind,,Camisetas,T-Shirts,"shirts
Final es-co & de translation review complete"
252,ToM-scene6-instruct4,theory-of-mind,,"Caminando de regreso, María se encuentra con su padre. Ella le dice ""acabo de comprar unas medias. Voy a compartirlas con mi hermano Sam. Es una sorpresa"".
""Es muy amable de tu parte"", dice Papá. Luego le pregunta a María: ""¿Sam sabe qué le has comprado?"".","Auf dem Rückweg trifft Maria ihren Vater. Sie erzählt ihrem Vater: ""Ich habe gerade ein paar Socken gekauft. Ich werde sie mit meinem Bruder Sam teilen. Es ist eine Überraschung.""
""Das ist nett von dir"", sagt Papa. Dann fragt er Maria: ""Weiß Sam, was du ihm gekauft hast?""","ToM-scene6-instruct4
Final es-co & de translation review complete"
253,ToM-scene6-q4,theory-of-mind,,¿Qué le dice María a Papá?,Was sagt Maria zu Papa?,"ToM-scene6-q4
Final es-co & de translation review complete"
254,ToM-scene6-instruct5,theory-of-mind,,"Entonces Papá pregunta: ""¿Qué cree Sam que venden en la tienda?"".","Dann fragt Papa: ""Was glaubt Sam, was sie in dem Laden verkaufen?""","ToM-scene6-instruct5
Final es-co & de translation review complete"
255,ToM-scene6-q5,theory-of-mind,,¿Qué le dice María a Papá?,,"ToM-scene6-q5
Final es-co & de translation review complete"
256,ToM-scene6-q6,theory-of-mind,,¿Qué cree Sam que venden en la tienda?,,"ToM-scene6-q6
Final es-co & de translation review complete"
257,ToM-scene6-instruct6,theory-of-mind,,Sam está muy feliz por recibir sus medias nuevas.,,"ToM-scene6-instruct6
"
258,hostile-attribution-scene1-instruct1,hostile-attribution,,Imagina que vas camino a la escuela y llevas puestos tus zapatos nuevos. Te gustan mucho tus zapatos nuevos y es la primera vez que los usas.,"Stell dir vor, du gehst zur Schule und trägst deine neuen Schuhe. Du magst deine neuen Schuhe sehr und heute ist der erste Tag, an dem du sie trägst.","hostile-attribution-scene1-instruct1
Final es-co & de translation review complete"
259,hostile-attribution-scene1-instruct2,hostile-attribution,,"De repente, un chico te golpea por detrás. Tropiezas y caes en un charco de barro y tus zapatos nuevos se ensucian de barro.",Plötzlich wirst du von einem Jungen von hinten angerempelt. Du stolperst und fällst in eine Schlammpfütze und deine neuen Schuhe sind schlammig.,"hostile-attribution-scene1-instruct2
Final es-co & de translation review complete"
260,hostile-attribution-scene1-q1,hostile-attribution,,¿Crees que el chico te golpeó a propósito o por accidente?,"Glaubst du, dass der Junge dich absichtlich oder aus Versehen angerempelt hat?","hostile-attribution-scene1-q1
Final es-co & de translation review complete"
261,hostile-attribution-scene1-q2,hostile-attribution,,Elige una de las tres opciones que tú harías:,,"hostile-attribution-scene1-q2
Final es-co & de translation review complete"
262,hostile-attribution-scene1-q2-ans1,hostile-attribution,,limpiar mis zapatos,,"hostile-attribution-scene1-q2-ans1
Final es-co & de translation review complete"
263,hostile-attribution-scene1-q2-ans2,hostile-attribution,,alejarme del chico,,"hostile-attribution-scene1-q2-ans2
Final es-co & de translation review complete"
264,hostile-attribution-scene1-q2-ans3,hostile-attribution,,empujar al chico al barro,,"hostile-attribution-scene1-q2-ans3
Final es-co & de translation review complete"
265,hostile-attribution-scene2-instruct1,hostile-attribution,,"Imagina que estás en el patio de recreo. Tú y otros niños están haciendo una carrera. Un niño está parado a un lado, haciendo rebotar una pelota de baloncesto.","Stell dir vor, du bist auf einem Spielplatz. Du und einige andere Kinder liefern sich ein Rennen. Ein Junge steht am Rand und wirft einen Basketball.","hostile-attribution-scene2-instruct1
Es-co complete, de still needs review."
266,hostile-attribution-scene2-instruct2,hostile-attribution,,"De repente, el chico hace rebotar la pelota y rueda bajo tus pies, haciéndote caer. Te raspas la rodilla, y alguien más gana la carrera.",,"hostile-attribution-scene2-instruct2
Es-co complete, de still needs review."
267,hostile-attribution-scene2-q1,hostile-attribution,,¿Crees que el chico te hizo caer a propósito o por accidente?,,"hostile-attribution-scene2-q1
Final es-co & de translation review complete"
268,hostile-attribution-scene2-q2,hostile-attribution,,Elige una de las tres opciones que tú harías:,,"hostile-attribution-scene2-q2
Final es-co & de translation review complete"
269,hostile-attribution-scene2-q2-ans1,hostile-attribution,,ir a otra zona del patio de recreo,,"hostile-attribution-scene2-q2-ans1
Final es-co & de translation review complete"
270,hostile-attribution-scene2-q2-ans2,hostile-attribution,,insultar al niño,etwas Gemeines zu ihm sagen,"hostile-attribution-scene2-q2-ans2
Final es-co & de translation review complete"
271,hostile-attribution-scene2-q2-ans3,hostile-attribution,,curar mi rodilla,,"hostile-attribution-scene2-q2-ans3
Final es-co & de translation review complete"
272,hostile-attribution-scene3-instruct1,hostile-attribution,,Imagina que estás trabajando en una tarea en tu escritorio.,,"hostile-attribution-scene3-instruct1
Final es-co & de translation review complete"
